likes,message,numWord
60.0,mother oakland calif girl declare brain dead routine tonsillectome say bring take daughter life support,32
156.0,rock guitarist carlo Santana reunite former bandman seen decad live street oakland,24
28.0,hard reach point wish wife Bodi would stop Munoz also told abc news calla fort worth affile,25
1.0,jetblu captain fbi custody act errant flight new york divert amarillo tea,23
9.0,obamacar explain like idiot,6
86.0,despite Seri unfortune event florida waitress accident gave wrong patron reward tri right thing,26
17.0,white house extend obamacar signum deadline monday tuesday insure coverage plan set begin jan,25
33.0,hospita order keep alive court appoint neurologist examine teen declare brain dead routine tonsillectome,21
23.0,fever Judg refuse discontinue sex marriage utah,9
44.0,town Ralli soldier whose christmas gift stolen home return afghanistan,19
32.0,family girl life support get reprive,9
91.0,orphan plead family get wish least christmas,13
16.0,office angelina effect prompt mani women undergo genet test breast cancer gene alway good thing,24
19.0,fatal maul began posit interact two big cat unfortune chang quickly zookeep unable spear two anim zoo said statement,31
1.0,romney recent controversy comment ring certain wall street anti hero,14
1.0,pakistani woman became disfigure face shun forgotten women pakistan commit suicide last week,20
225.0,Connor Sorensen born six month ago weigh less pound father wed ring fit loos around Tini leg doctor sure would survive,32
22.0,man went hospita joint replace init complain cough diagnose deadly mer coronavirus,25
92.0,duck dynasty phil Robertson stand controversy statement,10
5.0,beyond headline life like inside syria last six month abc news ask syrian document live caught crossfire watch,28
192.0,year ago today apollo astronaut first voyage moon snap icon photo distant earth space watch astronaut embark rare christmas eve spacewalk fix cool problem intern space station credit nasa,43
18.0,great debat onto christmas season race santa mani adam white everyone agre,24
88.0,florida ounce Babi get go home pound Babi born,16
42.0,duck dynasty popular remain high christmas album top seller merchandise fly shell,16
41.0,policy drunk woman found zoo Eleph enclosure,10
15.0,video camera roll man deriv toy dress santa shot pellet gun abc news will,23
2.0,moder Booz consumpt men survive heart attack may reduce death,13
57.0,whitechristma tomorrow,6
33.0,christmas eve still time miracle said Omari sealed girl uncle said family would discuss decide later whether appeal allow children hospita oakland remove girl ventil,42
19.0,studio drummer Ricki Lawson collator michael jackson eric Clapton phil collin whitney houston artist die california hospita suffer brain anour earlier month,35
36.0,new australian maritime author cruise aboard stuck ice edge antarctica icebreak en rout day away search rescue OPer underway aboard believe immis danger time,43
127.0,year ago Kevin mccallist left home cast home Alon,21
8.0,extravag christmas gift wealth,7
8.0,tri decide new move go see christmas move quiz help decide right family,30
17.0,us embassy afghanistan shaken away expos christmas morn attack muhammad lila,15
23.0,icebreak least day away move toward cruise ship trap sea ice coast antarctica,23
44.0,policy step help family new dog christmas present stolen burglars abc action news wet tv,22
4.0,would vote bill punish student teacher date regardless age,13
153.0,firefight realize die woman help pull crash vehicle daughter,15
142.0,year old Penn girl thousand christmas carol came sing last week die,16
34.0,up overload package system exceed Capac network miss christmas deadline,15
33.0,year old american develop worker kidnap pakistan al Maida two year ago appeal preside Obama new video release thursday negoti release say feel total abandon forgotten full story,38
28.0,power christmas consed one luck one,13
52.0,year old former compute specialist weigh pound teas life weight age weigh pound olivia want reveal last name said depress tri kill swallow hand painful today move tea live brother gastric surgery olivia weight pound,73
124.0,policy issue scratch lottery ticket instead speed fine christmas day travel Fla city,16
24.0,teen arrest even attempt robbery shoot teacher calif classroom,13
17.0,frostpaw protest polar bear become constant shadow pre Obama,12
21.0,group tri storm Fla move theater lead person mele,11
7.0,rush term lawmake chicago began remark conceal grey hood beneath suit jacket,17
43.0,father teen son christmas day dive found dead deep underway florida cave,15
51.0,delta post fare low round trip appar post christmas glitch,12
16.0,woman swallow lined christmas cake decor land er,9
23.0,stagger amount gift card go anus year info wast tonight abc world news dian sawyer,25
20.0,new former florida state univ football coach Bobbi bowden grandson person kill vehicle crash water ditch winter Fla survivor found alive submerge vehicle hour later abc action news wet tv,45
51.0,hedge fund tycoon gave away fortune commit suicide week praise today legend passion get thing done world,31
28.0,surveil camera allegedly capture man dump liquid neighbor backyard early month,16
42.0,fight week keep year old girl declare brain dead life support family Jahn McMath might take machin keep alive,36
9.0,forget finance cliff take abyss dumb debt move,16
32.0,earlier week resid tupelo miss held vigil offic gale Stauffer along azoth offic hit gunfire monday confront suspect bank robber getaway,33
1.0,afternoon oddity Silverton post video Babi bird feed month old son,14
15.0,south louisiana man attack former law current wife head hospita work kill three kill author said,27
21.0,python slip away kill secure guard near luxury hotel indonesian resort island bali,17
14.0,snowboard play russian roulette slope die avalanche,9
18.0,new york fever Judg rule NSA phone data collect law blunt tool work collect every Judg dismiss aclu complaint govern deni request preliminary injunct,36
19.0,new target confirm custom pin data fact stolen massive breach,13
75.0,dearest Bella mamma alway mystery guardian angel reply girl letter sent late great grandmother balloon,24
52.0,look back nasa stun satellite image earth photo,17
207.0,e decide revers cours resume film duck dynasty enter Robertson family follow major uproar debat,23
134.0,break e decide resume film duck dynasty later spring enter Robertson family,17
28.0,runaway wisconsin teenage girl elude colorado policy high speed chase help steal second car may head california policy said afternoon,28
1.0,photo day,5
53.0,new co avalanche info center skier buri avalanche descend ft near colorado Loveland ski area pass snowboard found dug snowboard dug shaft ski pole found victim hand strap pole grip,49
83.0,attorney say nurs home agre proved long term care Jahn McMath declare brain dead whose family maintain still alive,28
31.0,bear new tax trap next year,10
37.0,want work home find,8
10.0,think appropre commentary repercuss violence,13
60.0,e decks reinstate phil Robertson duck dynasty show network chosen profit african american gay people gay lesbian alliance defame glad said today,31
35.0,great granddaughter gender mill heiress found stab death luxury honduran spa,16
26.0,policy alabama investing kill rapper doe b azoth person shoot saturday also wound six other inside bar grill,28
58.0,search girl consed espec press since insulin depend grandfather told,17
35.0,break fbi believe suspect shot kill policy phoenix bank robbery saturday suspect want crime spree left one offic dead azoth wound tupelo miss story,40
1.0,yate convict tapit murder acquit juror found guilty reason insane,22
10.0,though huge year tech product launch land thud,15
24.0,femal bomber carri blast volgograd train station mile site upcome february Olympe russian resort town Sochi,30
18.0,food big deal look back,11
27.0,founder faith driven consume start istandwithphil com petit publicly question whether religio conserve fan heard e,24
25.0,accord policy cell phone record show suspect area differ bank robbery wore similar cloth robbery attempt,27
33.0,man occasion trip bare cover walk inch led,15
28.0,coast guard search man jump overboard royal caribbean cruise ship desert island near puerto Rico,24
24.0,french hospita tell abc news former formula one race champion michael schumach arrive coma ski acid suffer trauma brain injury,27
41.0,policy say woman allegedly tri kill four children well ex husband,20
21.0,update man suspect spree bank robbery kill policy offic tupelo miss arrest allegedly threaten kill preside Obama predecessor fever law enforce office told abc news,42
1.0,capt Clayton Esbon suspend duty today charge inter flight crew instruct,18
26.0,warren Weinstein wife told abc news david muir excls interview today pain two daughter felt saw say recent release video felt abandon,36
28.0,southern california man kill sunday car crash bedroom sleep,18
15.0,expos trolleybus city volgograd left people dead morn day suicide bomb kill least city main railway,32
8.0,update least people kill trolleybus expos least people injury accord russian health ministry,23
18.0,current former nasa astronaut beyond song use challenge dikast audio intensity,13
20.0,update kill nearly injury suicide bomber attack russian city volgograd,14
3.0,formula one race legend michael schumach remain coma serious brain injury ski acid,16
44.0,century old photograph intact expedite disco photograph darkroom remote base,12
15.0,court order for hospita keep girl life support set expire,13
4.0,trove document disco al Baeda hideout timbuktu mali reveal finick eater strict expense report,21
4.0,init policy report note Zimmerman bleed back head nose,17
36.0,air for photograph capture first snowfall season Bagram airfield afghanistan photo,17
38.0,develop mayor tell abc news injury report far Casselton north dakota train acid rail car continue explode like let burn,28
38.0,video expos train colloid Casselton north dakota,10
22.0,landmark chang allow gay boy scout schedule take effect jan restrict,15
46.0,el salvador chaparrastiqu volcano spew ash seen space via nasa rick mastracchio twitter,16
100.0,kid seem abl fall asleep anywhere one father take opportune photograph place year old manage fall asleep photo,27
50.0,Judg extend life support Jahn McMath jan previous court order set expire today accord order file alameda count superior court,33
34.0,schumach hang life doctor say helmet given fight Chanc,16
40.0,till worth watch disappear Netflix stream,13
13.0,rescuer end search year old canadian man went overboard royal caribbean cruise saturday caribbean,22
0.0,newt Gingrich batter fundraise Bruis former house speaker give,18
57.0,might famous college student ever set foot camp prince william go back school,23
24.0,office org resid small north dakota town evacue mile long train carri crude oil colloid azoth train trigger Seri thunder expos send toxic fume air,36
339.0,already happy new year across oceania region world include sydney australia photo,19
26.0,video forget cometh bear return azoth look around florida man home,14
14.0,small long victory panic keihanaikukauakahihuliheekahaunael,9
24.0,lone top kim long un show new model ski resort,13
95.0,tea mom sue insure deni claim year old daughter die append,13
47.0,sinkhole swallow truck driver hawaii,7
461.0,new year sweep asia include celebe taipei taiwan photo,15
15.0,utah file applied stay district court judgment allow gay marriage pend appeal us supreme court,20
0.0,could connect,5
2.0,spoiler alert mega million win strategi go work,10
44.0,woman find snake live secondhand couch month bring home,13
74.0,colorado prepare marijuana become legal wednesday,8
73.0,best photo share u depart interior photo,15
39.0,houston hospita confirm abc news first laid barbara bush hospita early sign pneumonia,21
150.0,new year celebe underway unit state clock strike jan us abc news thank make us news source happy new year,39
36.0,badly injury groom may face charge car crash kill bride left recept hour marri,26
67.0,explain crop circle salina calif capture curios alien enthusiast conspiracy theorist across nation,20
42.0,adventure eater may get rush flirt death eat piece puffer fish dolphin may expert cometh complete differ,25
51.0,fever office consed require new technology allow car talk avoid crash work,21
28.0,mother claim calif hospita feed brain dead daughter refer Bodi,16
1.0,femal crash dummy injury car women buy,12
29.0,fire chief tell OSTP tv least people injury expos alarm build fire minneapolis,20
17.0,woman crush death drawbridge boston,8
348.0,watch happy new year click video audio,19
11.0,world welcome swipe right left,13
9.0,world welcome swipe right left,13
7.0,world welcome swipe right left,13
8.0,world welcome swipe right left,13
92.0,conjoin twin thrive spear surgery via good morn america,11
10.0,transcend golfer make azoth run LPG dream,9
92.0,publicist confirm abc news Jame Averi known role uncle phil fresh prince bel air die age,26
1.0,year old man vial fuse plastic bottle fill expos powder three type firework,21
4.0,bigger sleepless seattle new move send chines roman stream emerald city,18
6.0,sneak peek thrill story real cold war mole hero stop Thur p et abc,24
36.0,Terri schiavo life hope network said work behalf Jahn McMath rel silent,21
56.0,wife forgive Karl Pierson clare dave father said would ask watch forgive Karl Pierson know,38
52.0,last year,6
38.0,helicopt begun airlift passing research ship trap intact ice week accord expedite office,27
6.0,sneak peek one thrill part cold war come life tonight p et abc,24
18.0,cathop priest found slain church rector,7
8.0,former cia agent Sandi grime answer question asset abc ama session geddit et redd u,25
12.0,abc news middle east correspond Alexandr Marquardt report multiple casualty report Hezbollah manor tv vehicle bomb explode southern beirut lebanon,25
8.0,dog choke telephone cord unwittingly call british emerge service,12
26.0,anonym hacker group appar upload user name phone number estime million snapchat user internet anyon grab,27
41.0,father file lawsuit alley son mother put boy adopt without knowledge,16
